Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 United Kingdom,50128,50947,52373,54351,55633,56216,56315,56585,57411,58187,59140,60488,62349,64089,65762,67244,68451,69394,70149,70743,71154
 United States,151869,165070,179980,193527,203985,215466,227225,237924,249623,266279,282163,295517,309348,321369,334504,347335,359403,370339,380220,389395,398329
 United States Virgin Islands,27,28,33,44,64,95,100,101,104,108,109,108,107,104,101,96,91,86,80,75,69
 Uruguay,2195,2354,2531,2694,2824,2844,2931,3019,3086,3151,3220,3265,3302,3342,3388,3432,3467,3486,3501,3504,3496
 Uzbekistan,6293,7233,8532,10206,11941,13988,15994,18216,20531,23068,25042,26540,27866,29200,30566,31824,32855,33653,34279,34768,35117
 Vanuatu,53,59,67,75,86,100,117,135,154,173,192,218,246,273,299,324,348,372,394,415,433
 Venezuela,5010,6171,7557,9068,10759,12675,14768,16998,19326,21550,23493,25270,27224,29276,31276,33189,34958,36544,37942,39174,40256
 Vietnam,25349,27739,31657,37259,42577,48076,53716,60094,67259,73784,79178,84425,89572,94349,98722,102459,105478,107843,109602,110718,111174
 Wallis and Futuna,7,8,8,9,9,9,11,14,14,15,15,16,16,16,16,17,17,17,16,16,16
Western Sahara,10,16,28,50,90,73,125,180,218,264,337,416,492,571,653,736,822,909,998,1086,1174
 Yemen,4778,5266,5872,6511,7099,7935,9133,10540,12417,14832,17236,20003,23210,26738,29885,32823,35660,38437,41142,43710,46081
 Zambia,2554,2870,3255,3695,4241,4849,5541,6536,7604,8691,9984,11373,13042,15067,17427,20105,23137,26546,30339,34497,38993
 Zimbabwe,2854,3410,4011,4686,5515,6342,7170,8561,10157,11160,11821,11640,11652,14230,15832,17371,18820,20282,21840,23492,25199
