Country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
 Czech Republic,8926,9366,9660,9777,9796,10043,10289,10311,10310,10324,10269,10267,10551,10645,10703,10697,10628,10529,10433,10332,10210
 Democratic Republic of the Congo,13569,14953,16611,18856,21781,25033,29011,33348,39152,46705,52446,60699,69852,79376,89250,99163,108872,118299,127440,136285,144806
 Denmark,4272,4440,4582,4759,4929,5060,5124,5114,5141,5233,5338,5433,5516,5582,5643,5698,5731,5728,5691,5635,5576
 Djibouti,80,91,112,143,180,227,327,383,500,554,670,667,741,829,922,1017,1110,1195,1271,1338,1396
 Dominica,52,57,60,64,70,74,74,74,71,72,71,73,73,74,75,75,74,73,71,68,65
 Dominican Republic,2353,2738,3232,3806,4423,5049,5697,6379,7084,7759,8469,9165,9824,10479,11110,11703,12240,12705,13097,13425,13691
 Timor-Leste,436,473,509,554,598,677,558,649,740,868,768,985,1088,1232,1384,1540,1690,1829,1958,2079,2192
 Ecuador,3370,3843,4416,5118,5940,6872,7921,9062,10319,11266,12446,13663,14791,15869,16905,17868,18744,19514,20165,20695,21103
 Egypt,21198,23856,26847,30266,33575,36953,42635,50053,54908,58946,65159,72544,80472,88488,99667,107653,111058,118256,125242,131823,137873
 El Salvador,1940,2222,2582,3018,3604,4073,4571,4672,5110,5480,5850,5957,6053,6142,6218,6289,6341,6354,6324,6263,6182
 Equatorial Guinea,212,226,244,253,271,214,257,326,372,427,492,568,651,741,837,936,1037,1139,1238,1335,1429
 Eritrea,1403,1499,1615,1747,2161,2422,2569,2942,3138,3566,4198,5070,5793,6528,7260,7988,8710,9421,10109,10765,11382
 Estonia,1096,1155,1211,1288,1364,1433,1483,1539,1570,1447,1380,1332,1303,1266,1229,1183,1132,1080,1029,978,924
 Ethiopia,20175,21991,24169,26741,29469,32976,36037,40684,47555,55726,64366,74355,86043,99466,114641,131261,149123,168007,187611,207685,228067
 Faroe Islands,32,33,35,38,39,41,44,46,48,44,46,49,50,51,52,54,55,56,57,57,58
 Federated States of Micronesia,31,36,42,49,57,67,78,91,109,106,108,109,108,106,103,99,95,91,86,80,75
 Fiji,288,333,394,464,522,577,635,699,740,773,805,837,876,910,936,957,973,986,999,1008,1014
 Finland,4009,4235,4430,4564,4607,4712,4780,4902,4987,5105,5169,5239,5355,5477,5572,5631,5646,5623,5580,5530,5476
 France,42540,44243,46612,49834,51955,53998,55164,56561,58256,59824,61256,63060,64941,66554,67849,68861,69604,70051,70154,69936,69485
 French Polynesia,63,72,82,95,115,134,151,176,200,217,236,254,269,283,296,306,314,320,324,325,325
 Gabon,416,429,447,475,515,648,714,834,939,1070,1237,1396,1546,1706,1877,2064,2267,2484,2717,2965,3230
 Georgia,3516,3828,4147,4465,4695,4898,5046,5193,5432,5042,4819,4791,4903,4932,4931,4930,4905,4869,4829,4781,4715
 Germany,68375,70196,72481,75639,77784,78683,78298,77685,79381,81654,82184,82440,81645,80855,82983,80027,78022,76590,74984,73277,71542
 Ghana,5298,6049,6959,8010,8789,10100,11153,13573,15549,17322,18982,21107,23572,26328,29341,32611,36120,39872,43862,48058,52416
 Gibraltar,23,24,25,26,27,30,29,29,30,27,28,29,29,30,30,30,30,30,30,29,29
 Greece,7567,7966,8328,8551,8793,9047,9643,9924,10130,10458,10560,10669,10750,10776,10743,10671,10584,10485,10367,10218,10036
 Greenland,23,27,33,40,47,50,51,54,56,57,57,58,58,58,58,58,57,55,54,52,50
 Grenada,76,85,91,94,96,96,91,94,95,98,102,105,108,111,114,115,116,116,116,115,115
 Guam,60,69,67,75,87,103,107,121,135,145,156,159,160,162,169,177,185,191,196,199,202
